Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
12/12/2017 15:00,16914.63,17083,16830.45,17055,961.41,16285471.62,16939.08
12/12/2017 16:00,17055,17199,16999.17,17110.97,810.72,13852536.38,17086.8
12/12/2017 17:00,17110.97,17169.59,17016.11,17169.59,700.03,11974564.37,17105.7
12/12/2017 18:00,17169.59,17428.42,17169.59,17254.45,1133.65,19590241.27,17280.75
12/12/2017 19:00,17257.6,17350,17084.17,17259,612.81,10565762.89,17241.41
12/12/2017 20:00,17259,17350,17000,17030,532.14,9179278.78,17249.73
12/12/2017 21:00,17008.15,17253.96,17008.15,17044.95,613.05,10467099.15,17073.83
12/12/2017 22:00,17033.98,17200,16999.17,17046.96,565.13,9663523.63,17099.52
12/12/2017 23:00,17046.96,17047,16615.02,16650.01,747.08,12554366.56,16804.63
13/12/2017 00:00,16650.01,16997.91,16650,16979.47,465.23,7826917.51,16823.65
13/12/2017 01:00,16979.47,16999.17,16765,16975,532.98,9014995.71,16914.17
13/12/2017 02:00,16975,17084.17,16288.23,16454.56,1241.8,20646941.5,16626.59
13/12/2017 03:00,16454.56,16663.4,16401.83,16487.93,794.45,13129972.11,16527.17
13/12/2017 04:00,16487.93,16516.56,16200,16429.99,705.62,11531989.53,16343.05
13/12/2017 05:00,16429.99,16700,16429.98,16637.91,514.89,8543200.07,16592.17
13/12/2017 06:00,16637.91,16637.91,16415.93,16529.98,359.93,5940185.18,16503.69
13/12/2017 07:00,16529.97,16530,16415.93,16486.62,451.61,7447793.37,16491.61
13/12/2017 08:00,16486.62,16640,16415.93,16560,717.68,11870123.77,16539.54
13/12/2017 09:00,16560,16560,16300,16500,627.17,10351754.27,16505.49
13/12/2017 10:00,16500,16560,16419.16,16505.84,687.09,11345637.78,16512.55
13/12/2017 11:00,16505.85,16559,16385,16559,493.44,8158689.58,16534.19
13/12/2017 12:00,16559,17107.03,16556.74,16989.95,847.6,14283330.78,16851.59
13/12/2017 13:00,16989.92,17099.98,16880.02,16905.87,530.26,8998847.54,16970.59
13/12/2017 14:00,16905.9,17081.35,16880,16929.13,310.83,5274058.46,16967.57
13/12/2017 15:00,16929.86,16989,16673.2,16705.01,677.22,11401223.03,16835.29
13/12/2017 16:00,16705.01,16799,16430,16525.47,661.72,10993505.41,16613.47
13/12/2017 17:00,16525.11,16568.4,16150,16290.1,1191.42,19476188,16347.06
13/12/2017 18:00,16297.93,16297.93,15497.69,15999.5,2226.79,35152618.88,15786.19
13/12/2017 19:00,15999.5,16286.01,15852.69,16271,905.9,14622791.35,16141.75
13/12/2017 20:00,16271,16349.99,15936.93,16028,738.8,11951256.91,16176.52
13/12/2017 21:00,16027.98,16480,15963.02,16480,618.72,10093716.45,16313.87
13/12/2017 22:00,16473.49,16498,16200,16335.36,429.89,7018119.23,16325.29
13/12/2017 23:00,16335.41,16392.76,16011.61,16250,405.63,6566637.38,16188.55
14/12/2017 00:00,16245.02,16494.94,16081.55,16458.81,336.84,5485295.67,16284.68
14/12/2017 01:00,16458.81,16458.81,16027.17,16250.29,437.85,7091557.53,16196.3
14/12/2017 02:00,16250.29,16252.99,15908.14,15955.29,669.65,10737449.61,16034.43
14/12/2017 03:00,15955.29,16000,15852.69,15999,372.93,5952050.84,15960.06
14/12/2017 04:00,15962.03,16246.91,15922.36,16149.95,543.83,8745111.56,16080.68
14/12/2017 05:00,16149.66,16229.06,16032.11,16180,383.4,6182361.41,16125.22
14/12/2017 06:00,16161.01,16334.26,16113.42,16129.95,380.51,6172885.34,16222.46
14/12/2017 07:00,16145,16390,16100,16390,250.65,4067683.4,16228.65
14/12/2017 08:00,16390,16830.45,16390,16553,1049.72,17443188.7,16616.98
14/12/2017 09:00,16553,16649,16334.26,16334.32,435.62,7178886.51,16479.76
14/12/2017 10:00,16344.88,16649,16252.99,16560,407.09,6691857.21,16438.12
